Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2021 Kia Picanto 1.0 Style,,R 189 995,R            3 616     p/m,22 000 km,Used Car,Manual
2017 Ford F150 Raptor 4x4,,R 1 999 995,R            38 068     p/m,3 100 km,Used Car,Automatic
2020 Kia Sportage 2.0CRDi EX Plus,,R 488 500,R            9 298     p/m,36 000 km,Used Car,Automatic
2020 McLaren SENNA Coupe,"Benoni Industrial, Benoni",POA,,500 km,Used Car,Automatic
2018 McLaren 720S Coupe,"Parkmore, Sandton",POA,,8 500 km,Used Car,Automatic
2015 Mercedes-Benz G-Class G63 AMG,"Benoni Industrial, Benoni",POA,,16 000 km,Used Car,Automatic
2018 McLaren 720S Coupe,"Parkmore, Sandton",POA,,7 600 km,Used Car,Automatic
2022 Rolls-Royce Cullinan Black Badge,"Morningside, Sandton",R 15 999 995,R            304 545     p/m,100 km,Used Car,Automatic
,,,,100 km,Used Car,Automatic
2015 Lamborghini Aventador LP700-4 Coupe Pirelli Edition,"Parkmore, Sandton",POA,,16 000 km,Used Car,Automatic
2018 Rolls-Royce Phantom Extended Wheelbase,"Melrose North, Johannesburg",POA,,6 755 km,Used Car,Automatic
2022 Ferrari SF90 Stradale,"Benoni Industrial, Benoni",R 13 999 999,R            266 477     p/m,300 km,Used Car,Automatic
2022 Rolls-Royce Ghost Black Badge,"Melrose North, Johannesburg",R 13 800 000,R            262 670     p/m,100 km,Used Car,Automatic
2022 Rolls-Royce Ghost Ghost,"Melrose North, Johannesburg",R 12 500 000,R            237 926     p/m,100 km,Used Car,Automatic
2020 BMW M5 M5 Competition,,R 1 779 000,R            33 862     p/m,13 694 km,Used Car,Automatic
2018 BMW X3 xDrive20d M Sport,,R 609 000,R            11 592     p/m,84 081 km,Used Car,Automatic
2018 BMW 1 Series 120i 5-Door Sports-Auto,,R 419 000,R            7 975     p/m,43 263 km,Used Car,Automatic
2016 Porsche 911 GT3 RS,"Parkmore, Sandton",POA,,10 800 km,Used Car,Automatic
2021 Ferrari 812 GTS,"Morningside, Sandton",R 10 999 995,R            209 375     p/m,3 000 km,Used Car,Automatic
2021 Rolls-Royce Ghost Ghost,"Melrose North, Johannesburg",R 10 990 000,R            209 185     p/m,2 500 km,Used Car,Automatic
2017 Mercedes-Benz GLE GLE500,"Parkmore, Sandton",POA,,14 500 km,Used Car,Automatic
2018 Mercedes-Benz GLE GLE500,"Parkmore, Sandton",POA,,29 000 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63,"Parkmore, Sandton",POA,,17 500 km,Used Car,Automatic
2009 Bentley Azure Azure,"Parkmore, Sandton",POA,,24 000 km,Used Car,Automatic
2010 Ferrari 458 Italia,"Parkmore, Sandton",POA,,21 000 km,Used Car,Automatic
1967 Ford Mustang Shelby GT500,"Parkmore, Sandton",POA,,5 000 km,Used Car,Manual
2020 Rolls-Royce Ghost Ghost,"Benoni Industrial, Benoni",R 7 999 999,R            152 273     p/m,9 000 km,Used Car,Automatic
2009 Ferrari F430 Scuderia,,R 5 449 900,R            103 734     p/m,5 450 km,Used Car,Automatic
2022 Volkswagen Polo Hatch 1.0TSI 85kW R-Line,,R 424 900,R            8 088     p/m,500 km,Used Car,Automatic
2014 Mercedes-Benz A-Class A200,,R 178 000,R            3 388     p/m,130 000 km,Used Car,Manual
2018 Ferrari 812 Superfast,"Morningside, Sandton",POA,,3 000 km,Used Car,Automatic
2022 Ferrari F8 Spider,"Morningside, Sandton",R 7 999 995,R            152 273     p/m,200 km,Used Car,Automatic
2022 Ferrari F8 Spider,"Morningside, Sandton",R 7 999 995,R            152 273     p/m,2 000 km,Used Car,Automatic
2021 Ferrari 812 Superfast,"Morningside, Sandton",R 7 999 995,R            152 273     p/m,400 km,Used Car,Automatic
2018 Rolls-Royce Wraith Wraith,"Morningside, Sandton",R 7 999 995,R            152 273     p/m,5 000 km,Used Car,Automatic
2014 Ferrari 458 Speciale,"Lonehill, Sandton",R 7 999 900,R            152 271     p/m,12 000 km,Used Car,Automatic
2022 Ferrari F8 Spider,"Morningside, Sandton",R 7 899 995,R            150 369     p/m,190 km,Used Car,Automatic
2018 Ferrari 812 Superfast,"Kramerville, Sandton",R 7 899 000,R            150 350     p/m,1 000 km,Used Car,Automatic
2016 McLaren 675LT Spider,"Melrose North, Johannesburg",POA,,1 400 km,Used Car,Automatic
,,,,1 400 km,Used Car,Automatic
